noise,true_mape,max,mean,percentile_5,percentile_95
1e-13,31.802946077394584,31.802946077395234,31.80294607739453,31.802946077394306,31.802946077394868
1e-07,31.802946077394584,31.80294610532411,31.802946077719536,31.8029460620716,31.802946093241157
0.0001,31.802946077394584,31.80297400734457,31.8029464020124,31.80293075394011,31.802961924284677
0.01,31.802946077394584,31.80586102634551,31.802991141057422,31.80141802999707,31.804593749390623
0.1,31.802946077394584,31.88202073887242,31.808668734034843,31.79393980046382,31.82899694170231
1,31.802946077394584,33.14335943279823,31.995941092854082,31.783896292197564,32.40955439761438
5,31.802946077394584,36.29939257897144,32.66457587693114,31.84986469399864,33.939096956248164
